camp_name,agency,governorate,district,coordinates_latitude,coordinates_longitude,site_typology,priorityneeds/urgent,background/ownerofthesite,background/date_first_occupied,background/recentinflux,background/totalpopulationfirstarrived,background/reasonfordisplacement,background/sitemanagement,background/awareofhumanitarianorganizationonsite,hh/total_families,hh/total_population,ind_ages/ind_age_groups/males_0_4,ind_ages/ind_age_groups/females_0_4,ind_ages/ind_age_groups/males_5_17,ind_ages/ind_age_groups/females_5_17,ind_ages/ind_age_groups/males_18_59,ind_ages/ind_age_groups/females_18_59,ind_ages/ind_age_groups/males_60_over,ind_ages/ind_age_groups/females_60_over,vulnerabilities_groups/F_HoH,vulnerabilities_groups/Child_HoH,vulnerabilities_groups/unaccompanied,vulnerabilities_groups/ppl_physical_dis,vulnerabilities_groups/ppl_mental_dis,vulnerabilities_groups/ppl_chronic_disease,vulnerabilities_groups/preg_or_lac,vulnerabilities_groups/elderly_at_risk,vulnerabilities_groups/widow,shelter_type/tent,shelter_type/makeshift_improvised,shelter_type/singlefamily,shelter_type/multiplefamily,shelter_type/prefab,shelter_type/school,shelter_type/religiousbuilding,shelter_type/privatebuilding,shelter_type/publicbuilding,shelter_type/militaryspace,shelter_type/others,,protection/fallinghazardsinthesite,protection/riskofunexplodedmines,protection/opentoelements,protection/damagetoprimarybuilding,protection/otherbasicneeds,protection/anyincidents,protection/securitystafforpoliceofficersstationed,protection/tensionbetweenresidentsandhostcommunity,protection/threatsofeviction,protection/sufficientandreliableaccesstofood,Which of the following statements describes best the access to electricity at the site?,wash,wash/functionallatrines,wash/functionalshowers,wash/solidwastevisible,nfi/blankets,nfi/mattress,nfi/jerrycan,nfi/kerosene,nfi/kitchen,nfi/hygienekits,nfi/femalehyginekits,nfi/tarpaulin,nfi/solarlatrines,nfi/electricityaccess,nfi/others,health/functionalclinic,health/clinicemergencyservices,health/clinicprenatalservices,health/clinicdispensemedication,health/functionalhospital,health/hospitalemergencyservices,health/hospitlapediatricservices,health/hospitalprenatalservices,health/hospitaldipensemedication,education/primaryschool,education/primaryschooldistance,education/primarysufficientteachers,education/secondaryschool,educaton/secondschooldistance,education/secondarysufficientteachers,assistance/recent,Do you know their name?,Please add any additional comments based on observations or additional information provided by the key informant that would be useful for CCCM actors to know.,_id,_uuid,_submission_time,_validation_status,_index
Al_Sayada,Blumont,Kirkuk,Kirkuk,35.37991077,44.33263478,Self settled camp,"Water purefication system
Security patrol
Job oppertunities
Vocational training ",Govrenment ,2016-01-01,No,,ISIS,Government,No,372,1539,120,180,300,530,120,200,25,64,35,0,0,12,10,15,30,3,50,0,0,310,0,0,7,0,0,0,0,,,No presence,No,None,There is no damage to primary building,"Water purefication system
Security patrol ",No,No,No,No,Yes,All needs are met,All needs are met,2,1,Yes,Available and sufficient,Available and sufficient,Available and sufficient,Not available or not sufficient,Available and sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,No electricity in the whole site,Not available or not sufficient,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,Yes,Yes,1,Yes,NA,,NA,7856893,d019c6c7-2e14-42cc-8f19-e0edd0a65b35,2019-11-26T13:20:57,,1
Al-Sayada Village,Blumont,Kirkuk,Kirkuk,35.38066927,44.34795278,Self settled camp,"Cash grants
Health assistanc 
Electricity
Waste collection ",Private owner ,2016-01-01,No,,ISIS,Private,No,538,2725,135,180,230,300,650,750,200,280,100,0,0,30,20,50,100,40,90,0,0,250,283,0,1,1,0,0,0,0,N/A,Some presence,No,Less than half,There is slight damage to primary building,"Barbage bins
Reinforcing the electricity system 
Health assistanc ",No,No,No,No,No,Half or more than half of the people are facing shortages,Less than half of the people are facing shortages,1,1,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Available and sufficient,Available and sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Poor wiring low and uncovered electrical points overloaded circuits,Not available or not sufficient,Yes,No,No,Yes,No,,,,,Yes,1,Yes,No,,No,NA,,N/A,7857307,6eb7a414-c542-446d-84e0-033c3f8c8013,2019-11-26T13:36:58,,2
Al_qadisiya,Blumont,Kirkuk,Kirkuk,35.41707197,44.41016309,Collective Center,"Health
Food
Livelyhood 
Education",Private,2016-06-22,No,,ISIS,Private,No,180,1080,150,170,170,335,80,95,20,60,0,0,0,0,0,5,9,0,19,0,0,180,25,0,1,1,0,0,0,,,Not known,No,Less than half,There is moderate damage to primary building,"Water System
Education
Health
Cash Grant",No,Yes,No,No,Yes,Half or more than half of the people are facing shortages,Half or more than half of the people are facing shortages,180,180,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,No electricity in whole site,Not available or not sufficient,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,Yes,Yes,1,Yes,NA,,NA,7861147,701391e7-46f9-40b7-8556-17333efcb00d,2019-11-26T16:55:10,,3
Hay Al-Zawraa 58,Blumont,Kirkuk,Kirkuk,35.38467719,44.38059226,Self settled camp,"Livelihood
Basic Services
Oil",NA,2015-09-10,No,,ISIS,Volunteer basis,No,700,4197,300,380,716,849,850,950,87,65,200,0,0,2,1,6,150,0,28,0,0,650,50,480,0,0,0,0,0,0,O,Some presence,No,None,There is severe damage to primary building,"Cash 
Reinforce electricity
Livelihood",No,No,No,No,No,Shortages in are affecting everyone,Shortages in are affecting everyone,1,1,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Available and sufficient,Available and sufficient,Not available or not sufficient,Not available or not sufficient,Poor wiring low and uncovered electrical points electrical points near water sources No electricity in whole site,Not available or not sufficient,Yes,No,No,Yes,No,,,,,No,,,No,,,Livelihood,,NA,7877561,eb556a45-6ac4-4d20-9ded-3c0aad2a0851,2019-11-27T12:07:39,,4
Hay Al-Zawraa 55,Blumont,Kirkuk,Kirkuk,35.3844675,44.38266646,Self settled camp,"Livelihood
Cash
Food
Sanitary services
NFI
CRI",NA,2014-10-17,No,,ISIS,Volunteer basis,No,248,1478,100,150,213,285,250,310,70,100,30,0,0,2,1,10,50,0,45,0,0,200,48,0,0,0,0,0,0,0,,Some presence,No,Half of more,There is moderate damage to primary building,"Food 
Basic services
NFI
CRI",No,No,No,No,Yes,Half or more than half of the people are facing shortages,Shortages in are affecting everyone,1,1,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,No electricity in whole site Poor wiring electrical points near water sources low and uncovered electrical points,Not available or not sufficient,Yes,No,No,Yes,No,,,,,No,,,Yes,1,,Food,,NA,7877562,2b78b287-6d4d-4ad1-b826-6936d1ae27d1,2019-11-27T12:07:41,,5
Kobani Area,Blumont,Kirkuk,Kirkuk,35.37681283,44.37116251,Self settled camp,"Basic services, cash, livelihood, WASH",N/A,2015-01-14,No,,ISIS,Private,No,98,588,46,53,48,55,120,150,50,66,70,0,0,10,3,40,45,20,80,0,0,98,0,0,0,0,0,0,0,0,N/A,Some presence,No,Half of more,There is slight damage to primary building,"Better electricity cabling, livelihood, cash",No,Yes,No,No,No,Less than half of the people are facing shortages,Half or more than half of the people are facing shortages,1,1,No,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Available and sufficient,Not available or not sufficient,Not available or not sufficient,Available and sufficient,Not available or not sufficient,Poor wiring low and uncovered electrical points overloaded circuits electrical points near water sources Other - please specify,Not available or not sufficient,Yes,No,No,Yes,No,,,,,Yes,2,No,No,,No,N/A,,NA,7877566,95d0ff4e-d73b-4740-909f-4a5f8b3d6ec8,2019-11-27T12:08:03,,6
Al-nida Area,Blumont,Kirkuk,Kirkuk,35.39580127,44.37570861,Self settled camp,"House renovating, WASH, CASH, Livelihood",NA,2014-10-16,No,,ISIS,Volunteer basis,No,906,5436,700,1000,650,950,850,1100,86,100,300,0,0,30,10,40,110,3,130,0,0,300,609,0,0,0,0,0,0,0,N/A,Some presence,No,Half of more,There is severe damage to primary building,"WASH, house relocating",No,No,No,No,No,Half or more than half of the people are facing shortages,Shortages in are affecting everyone,1,1,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Available and sufficient,Not available or not sufficient,electrical points near water sources overloaded circuits low and uncovered electrical points Poor wiring No electricity in whole site,Not available or not sufficient,No,,,,No,,,,,No,,,No,,,None,,NA,7877567,4091712a-014a-4cdd-bd37-8ffd4879bf81,2019-11-27T12:08:05,,7
 1 Huzairan ,Blumont,Kirkuk,Kirkuk,35.41009431,44.33165233,Self settled camp,"Shelter
Wash",N/A,2019-11-27,No,,ISIS,Private,No,2555,15230,1700,2100,3200,4000,1430,1900,400,500,1700,0,0,40,35,65,320,50,600,0,500,800,300,150,0,0,0,0,0,0,,Some presence,No,Half of more,There is moderate damage to primary building,N/A,No,No,No,No,Yes,Half or more than half of the people are facing shortages,Half or more than half of the people are facing shortages,1,1,Yes,Not available or not sufficient,Not available or not sufficient,Available and sufficient,Not available or not sufficient,Available and sufficient,Not available or not sufficient,Not available or not sufficient,Available and sufficient,Not available or not sufficient,Poor wiring low and uncovered electrical points overloaded circuits,Not available or not sufficient,No,,,,No,,,,,No,,,Yes,1,,N/A,,N/A,7877653,6038c43d-7c76-4c2a-831f-ba5724c567e4,2019-11-27T12:11:30,,8
Hay Al-Zawraa 58 Ziraii,Blumont,Kirkuk,Kirkuk,35.38179206,44.38435943,Self settled camp,"Livelihood 
Cash
Basic services",NA,2014-09-01,No,,ISIS,Private,No,202,202,20,20,20,20,30,40,22,30,15,0,0,0,4,2,30,0,20,0,0,178,15,0,0,0,0,0,0,0,0,Extensive presence,No,Half of more,There is severe damage to primary building,A/N,No,No,No,No,No,Half or more than half of the people are facing shortages,Shortages in are affecting everyone,1,1,No,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Poor wiring overloaded circuits,Not available or not sufficient,Yes,No,No,No,No,,,,,No,,,No,,,N/ A,,NA,7877656,9ca73065-4253-43e7-804d-259831130936,2019-11-27T12:11:32,,9
Al-Faylaq Mahala - Sector 5 & 6,Blumont,Kirkuk,Kirkuk,35.47487642,44.36497976,Small Settlements (less than 5 HH),"Cash
Livelihood
NFI
Winter supplies (i.e. Gas, coats)",Public Property,2014-11-28,No,,"ISIS, Fear of decapitation",Private,No,494,494,20,27,108,115,75,83,30,36,20,0,0,5,2,15,5,35,100,0,0,150,100,0,0,0,35,0,40,0,G,Some presence,No,Half of more,There is moderate damage to primary building,"Gas, heaters and coats",No,No,No,No,Yes,Shortages in are affecting everyone,Less than half of the people are facing shortages,1,1,No,Available and sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Not available or not sufficient,Not available or not sufficient,Available and sufficient,Not available or not sufficient,Poor wiring,Not available or not sufficient,Yes,No,No,Yes,No,,,,,Yes,1,No,Yes,1,Yes,None,,"NFI, Livelihood and Cash supplements are needed.",7897653,a2b84c46-e9e6-4068-9605-ec397a237e22,2019-11-28T11:32:00,,10
